TRACK_SUMMARY_SK,TRACK_SK,SNAPSHOT_DATE_SK,COURSE_COUNT,TOTAL_CHAPTERS,TOTAL_EXERCISES,TOTAL_VIDEOS,TOTAL_XP,AVG_XP_PER_COURSE,AVG_TIME_HOURS,TOTAL_DURATION_HOURS,DATASETS_COUNT,PARTICIPANT_COUNT,IS_CAREER_FLAG,PREDOMINANT_DIFFICULTY_SK,LOAD_TS
82,82,3,5,15,181,53,14950,2990.00,3.00,15.00,3,1993,false,2,2025-11-24 20:09:53.593
83,83,3,5,19,137,48,10900,2180.00,3.00,16.00,10,82815,false,1,2025-11-24 20:09:53.593
84,84,3,13,44,554,148,42800,3292.00,3.00,42.00,8,5429,true,2,2025-11-24 20:09:53.593
85,85,3,7,29,387,102,32300,4614.00,4.00,28.00,44,267949,false,1,2025-11-24 20:09:53.593
86,86,3,7,23,289,90,23400,3343.00,3.00,24.00,4,18963,true,3,2025-11-24 20:09:53.593
87,87,3,4,15,193,57,15550,3888.00,4.00,15.00,4,22323,false,2,2025-11-24 20:09:53.593
88,88,3,4,13,170,50,14050,3513.00,3.00,13.00,6,22447,false,1,2025-11-24 20:09:53.593
89,89,3,3,12,151,45,12800,4267.00,4.00,12.00,5,2706,false,2,2025-11-24 20:09:53.593
90,90,3,14,63,737,209,59250,4232.00,5.00,63.00,28,4490,true,2,2025-11-24 20:09:53.593
91,91,3,14,57,686,164,56250,4018.00,4.00,54.00,11,2907,true,1,2025-11-24 20:09:53.593
92,92,3,5,24,293,59,24800,4960.00,4.00,22.00,7,151886,false,1,2025-11-24 20:09:53.593
93,93,3,3,12,139,43,11350,3783.00,4.00,12.00,0,2161,false,3,2025-11-24 20:09:53.593
94,94,3,4,13,176,51,11350,2838.00,2.00,6.00,1,712,false,1,2025-11-24 20:09:53.593
95,95,3,7,26,322,88,26000,3714.00,4.00,26.00,13,512347,false,1,2025-11-24 20:09:53.593
96,96,3,10,40,520,144,42000,4200.00,4.00,41.00,28,70181,true,2,2025-11-24 20:09:53.593
97,97,3,5,20,254,71,21400,4280.00,4.00,21.00,19,9323,false,2,2025-11-24 20:09:53.593
98,98,3,6,24,313,87,24550,4092.00,4.00,24.00,12,17269,false,2,2025-11-24 20:09:53.593
99,99,3,3,12,157,46,12800,4267.00,4.00,12.00,13,74047,false,2,2025-11-24 20:09:53.593
100,100,3,4,16,201,57,16150,4038.00,4.00,16.00,6,16755,false,1,2025-11-24 20:09:53.593
101,101,3,4,16,221,61,18150,4538.00,4.00,16.00,6,2504,false,2,2025-11-24 20:09:53.593
